trait,h2_total,h2_eQTL,h2_mQTL,h2,se,GWAS,Type,eQTL_num_SNP,eQTL_num_hotspot,mQTL_num_SNP,mQTL_num_hotspot
imputed_UKB_20002_1262_self_reported_parkinsons_disease.txt.gz,0.0019,0.0018,0.0017,0.0019,0.0014,Parkinsons_disease,d,113,2,113,4
imputed_UKB_20002_1453_self_reported_psoriasis.txt.gz,0.0078,0.0056,0.0063,0.0078,0.0017,Psoriasis,d,215,6,215,5
imputed_UKB_20002_1464_self_reported_rheumatoid_arthritis.txt.gz,0.005,0.005,0.0049,0.005,0.0013,Rheumatoid_arthritis,d,249,6,249,17
imputed_UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema.txt.gz,0.0679,0.0623,0.0615,0.0679,0.0045,Hay_fever_and_or_eczema,d,140,5,140,11
meta_v3_onco_euro_overall_ChrAll_1_release.txt.gz,0.1399,0.1358,0.1324,0.1399,0.0216,Prostate_cancer,d,432,4,432,12
Refracive_Error_NatGenet_2020.txt.gz,0.1215,0.12,0.1215,0.1215,0.0298,Refractive_error,d,428,3,428,12
imputed_Astle_et_al_2016_Granulocyte_count.txt.gz,0.1515,0.1432,0.1381,0.1515,0.0128,Granulocyte_count,t,112,6,112,13
imputed_Astle_et_al_2016_High_light_scatter_reticulocyte_count.txt.gz,0.1709,0.1586,0.1638,0.1709,0.0155,High_light_scatter_reticulocyte_count,t,565,6,565,8
imputed_Astle_et_al_2016_Monocyte_count.txt.gz,0.1938,0.1806,0.1896,0.1938,0.0201,Monocyte_percentage_of_white_cells,t,554,7,554,15
imputed_Astle_et_al_2016_Myeloid_white_cell_count.txt.gz,0.1555,0.1506,0.1476,0.1555,0.0125,Myeloid_white_cell_count,t,115,6,115,15
imputed_Astle_et_al_2016_Neutrophil_count.txt.gz,0.1512,0.148,0.1474,0.1512,0.0128,Neutrophil_count,t,831,7,831,17
imputed_Astle_et_al_2016_Platelet_count.txt.gz,0.2277,0.2139,0.2122,0.2277,0.0175,Platelet_count,t,1438,6,1438,16
imputed_Astle_et_al_2016_Reticulocyte_count.txt.gz,0.171,0.169,0.1654,0.171,0.0159,Mean_reticulocyte_volume,t,490,4,490,13
imputed_Astle_et_al_2016_Sum_basophil_neutrophil_counts.txt.gz,0.1515,0.1341,0.1474,0.1515,0.0129,Sum_basophil_neutrophil_counts,t,110,3,110,11
imputed_Astle_et_al_2016_Sum_eosinophil_basophil_counts.txt.gz,0.1551,0.1529,0.1479,0.1551,0.0141,Sum_eosinophil_basophil_counts,t,155,3,155,14
imputed_EGG_BW3_EUR.txt.gz,0.1015,0.0971,0.0973,0.1015,0.0064,Birth_weight,t,289,6,289,14
imputed_ENIGMA_Intracraneal_Volume.txt.gz,0.2708,0.2747,0.2725,0.2708,0.0422,Brain_region_volumes,t,647,4,647,15
imputed_Jones_et_al_2016_Chronotype.txt.gz,0.1025,0.1002,0.1,0.1025,0.0058,Chronotype,t,410,6,410,15
imputed_MAGNETIC_LDL.C.txt.gz,0.1814,0.168,0.168,0.1814,0.0448,Low_density_lipoprotein_cholesterol_levels,t,971,4,971,12
imputed_SSGAC_Education_Years_Pooled.txt.gz,0.1244,0.1226,0.1222,0.1244,0.0041,Educational_attainment__MTAG_,t,1268,3,1268,9
imputed_UKB_1160_Sleep_duration.txt.gz,0.0717,0.0685,0.0686,0.0717,0.0033,Sleep_duration,t,110,5,110,5
imputed_UKB_1180_Morning_or_evening_person_chronotype.txt.gz,0.1159,0.1133,0.1133,0.1159,0.0041,Morning_person,t,300,7,300,15
imputed_UKB_20016_Fluid_intelligence_score.txt.gz,0.2326,0.2285,0.2259,0.2326,0.0101,Intelligence,t,520,2,520,10
imputed_UKB_20127_Neuroticism_score.txt.gz,0.1153,0.112,0.1125,0.1153,0.0054,Neurociticism,t,170,5,170,4
imputed_UKB_2395_2_Hair_or_balding_pattern_Pattern_2.txt.gz,0.0535,0.0515,0.0502,0.0535,0.0064,Male-pattern_baldness,t,812,6,812,18
